regime_before,regime_after,stock_code,stock_name,industry,mean_degree_before,mean_degree_after,delta_mean_degree,mean_strength_before,mean_strength_after,delta_mean_strength,delta_mean_same_degree,delta_mean_cross_degree,delta_mean_same_strength,delta_mean_cross_strength,mean_degree_rank_before,mean_degree_rank_after,degree_rank_improvement,mean_strength_rank_before,mean_strength_rank_after,strength_rank_improvement,rank_shift_magnitude,delta_degree_top5_share,delta_strength_top5_share,lost_core_incident,gained_core_incident,lost_same_core_incident,lost_cross_core_incident,gained_same_core_incident,gained_cross_core_incident,persistence_drop_burden,persistence_gain_burden,abs_persistence_shift_burden,cross_persistence_drop_burden,cross_persistence_gain_burden,cross_abs_persistence_shift_burden,major_persistence_drop_count,major_persistence_gain_count,total_core_change_incident,net_core_incident_change,net_persistence_shift,persistence_shift_share,core_change_incident_share,cross_shift_ratio,node_transition_mode
2,3,600519,贵州茅台,食品饮料,6.6,7.3,0.7000000000000002,0.8541168104941743,0.9439217570172472,0.08980494652307291,0.0,0.6999999999999997,0.04744979942797345,0.04235514709509958,10.4,9.25,1.1500000000000004,6.0,4.4,1.5999999999999996,1.970406049523803,0.0,0.6,0,1,0,0,0,1,0.6,1.3,1.9,0.6,1.3,1.9,1,1,1,1,0.7000000000000001,0.07661290322580648,0.05555555555555555,1.0,Gain-dominated
2,3,600036,招商银行,银行,4.8,5.1,0.2999999999999998,0.8299297875217059,0.8396259866958964,0.009696199174190512,1.0,-0.6999999999999997,0.03779544302103344,-0.028099243846843036,12.9,12.1,0.8000000000000007,6.4,8.3,-1.9000000000000004,2.0615528128088307,0.0,-0.4,0,1,0,0,1,0,0.7,1.0,1.7,0.7,0.0,0.7,0,1,1,1,0.30000000000000004,0.06854838709677422,0.05555555555555555,0.4117647058823529,Gain-dominated
2,3,600030,中信证券,非银金融,9.2,8.8,-0.3999999999999986,0.7092094153928893,0.748030533291322,0.03882111789843268,0.0,-0.39999999999999947,-0.01596748279848595,0.05478860069691871,4.7,5.55,-0.8499999999999996,10.8,11.2,-0.3999999999999986,0.9394147114027959,-0.09999999999999998,-0.2,0,1,0,0,0,1,1.0,0.5999999999999999,1.5999999999999999,1.0,0.5999999999999999,1.5999999999999999,0,0,1,1,-0.40000000000000013,0.06451612903225809,0.05555555555555555,1.0,Gain-dominated
2,3,000568,泸州老窖,食品饮料,8.8,8.4,-0.40000000000000036,0.9809804590211696,0.998554292952886,0.01757383393171641,0.0,-0.39999999999999947,-0.035136562838226415,0.052710396769942824,4.8,6.65,-1.8500000000000005,3.0,3.2,-0.20000000000000018,1.86077940659284,-0.19999999999999996,0.0,1,0,0,1,0,0,1.0,0.5999999999999998,1.5999999999999996,1.0,0.5999999999999998,1.5999999999999996,1,0,1,-1,-0.40000000000000024,0.06451612903225808,0.05555555555555555,1.0,Loss-dominated
2,3,002460,赣锋锂业,新能源,9.2,8.7,-0.5,0.6759512255166025,0.6411740572917415,-0.03477716822486099,0.0,-0.5,0.0,-0.03477716822486099,3.8,5.9,-2.1000000000000005,12.0,14.1,-2.0999999999999996,2.9698484809834995,-0.30000000000000004,0.0,1,0,0,1,0,0,1.0,0.4999999999999998,1.4999999999999996,1.0,0.4999999999999998,1.4999999999999996,0,0,1,-1,-0.5000000000000002,0.060483870967741944,0.05555555555555555,1.0,Loss-dominated
2,3,603501,韦尔股份,电子,6.6,5.2,-1.3999999999999995,0.7340731318707994,0.8066422198177412,0.07256908794694183,0.0,-1.4,0.002816195435736857,0.06975289251120498,10.5,11.9,-1.4000000000000004,10.0,9.4,0.5999999999999996,1.523154621172782,0.0,0.0,1,0,0,1,0,0,1.4000000000000001,0.0,1.4000000000000001,1.4000000000000001,0.0,1.4000000000000001,2,0,1,-1,-1.4000000000000001,0.05645161290322583,0.05555555555555555,1.0,Loss-dominated
3,4,000568,泸州老窖,食品饮料,8.4,4.75,-3.6500000000000004,0.998554292952886,0.7613903598293429,-0.2371639331235431,0.0,-3.6500000000000004,0.04906877819995992,-0.28623271132350303,6.65,10.375,-3.7249999999999996,3.2,7.75,-4.55,5.880316743169537,-0.4,-1.0,3,0,0,3,0,0,3.6500000000000004,0.0,3.6500000000000004,3.6500000000000004,0.0,3.6500000000000004,4,0,3,-3,-3.6500000000000004,0.12500000000000003,0.09375,1.0,Loss-dominated
3,4,002415,海康威视,电子,9.1,5.5,-3.5999999999999996,0.8977941685930773,0.5790827651322493,-0.31871140346082794,-0.5,-3.0999999999999996,-0.11890362938923121,-0.19980777407159683,4.45,7.875,-3.425,5.7,12.0,-6.3,7.170817596341438,-0.7,-0.4,4,0,1,3,0,0,3.6,0.0,3.6,3.1,0.0,3.1,5,0,4,-4,-3.6,0.12328767123287672,0.125,0.8611111111111112,Loss-dominated
3,4,002460,赣锋锂业,新能源,8.7,5.25,-3.4499999999999993,0.6411740572917415,0.32506342118087594,-0.31611063611086554,0.0,-3.4499999999999993,0.0,-0.31611063611086554,5.9,8.875,-2.9749999999999996,14.1,15.0,-0.9000000000000004,3.1081545971846376,-0.5,0.0,4,0,0,4,0,0,3.5,0.0499999999999999,3.55,3.5,0.0499999999999999,3.55,4,0,4,-4,-3.45,0.12157534246575342,0.125,1.0,Loss-dominated
3,4,600887,伊利股份,食品饮料,8.2,5.25,-2.9499999999999993,0.6888695129976573,0.45280044050045953,-0.23606907249719777,0.0,-2.95,-0.1288800145496926,-0.107189057947505,7.45,9.0,-1.5499999999999998,12.7,14.0,-1.3000000000000007,2.022992832414391,-0.2,0.0,3,0,0,3,0,0,2.95,0.0,2.95,2.95,0.0,2.95,4,0,3,-3,-2.95,0.10102739726027399,0.09375,1.0,Loss-dominated
3,4,000725,京东方A,电子,9.6,6.75,-2.8499999999999996,0.8441455027482048,0.7981627200111894,-0.04598278273701539,0.0,-2.8499999999999996,0.013695304652895923,-0.059678087389911094,3.2,4.875,-1.6749999999999998,7.7,6.25,1.4500000000000002,2.2154288523895325,-0.4,0.04999999999999999,3,0,0,3,0,0,2.85,0.0,2.85,2.85,0.0,2.85,4,0,3,-3,-2.85,0.0976027397260274,0.09375,1.0,Loss-dominated
3,4,601318,中国平安,非银金融,10.0,7.25,-2.75,1.119036854632884,0.9495421007399079,-0.16949475389297608,0.0,-2.75,0.23068809894379957,-0.4001828528367757,1.6,3.375,-1.775,1.8,3.25,-1.45,2.2919696769372844,0.0,0.0,3,0,0,3,0,0,2.75,0.0,2.75,2.75,0.0,2.75,3,0,3,-3,-2.75,0.09417808219178082,0.09375,1.0,Loss-dominated
3,4,002475,立讯精密,电子,5.4,4.25,-1.1500000000000004,0.5594501803018241,0.5197922627447149,-0.039657917557109235,-0.5,-0.6499999999999999,-0.07273103235241568,0.03307311479530671,11.7,11.375,0.3249999999999993,14.9,13.0,1.9000000000000004,1.9275956526201237,0.0,0.0,2,0,1,1,0,0,1.9,0.75,2.65,1.4,0.75,2.15,2,1,2,-2,-1.15,0.09075342465753425,0.0625,0.8113207547169812,Loss-dominated
3,4,000858,五粮液,食品饮料,9.3,7.75,-1.5500000000000007,1.1503332226352898,1.0985570803135336,-0.0517761423217562,0.0,-1.5499999999999998,0.017351127012326772,-0.06912726933408297,3.7,2.5,1.2000000000000002,1.2,1.25,-0.050000000000000044,1.2010412149464316,-0.25,0.0,4,0,0,4,0,0,1.55,0.0,1.55,1.55,0.0,1.55,1,0,4,-4,-1.55,0.05308219178082192,0.125,1.0,Loss-dominated
3,4,600030,中信证券,非银金融,8.8,8.75,-0.05000000000000071,0.748030533291322,1.04245419761782,0.29442366432649814,0.0,-0.04999999999999982,0.23068809894379957,0.06373556538269853,5.55,1.75,3.8,11.2,2.25,8.95,9.723296766015114,0.5,1.0,2,0,0,2,0,0,0.8,0.75,1.55,0.8,0.75,1.55,1,1,2,-2,-0.050000000000000044,0.05308219178082192,0.0625,1.0,Loss-dominated
3,4,000001,平安银行,银行,8.2,7.0,-1.1999999999999993,0.9043235273810211,0.6801627708071568,-0.22416075657386425,0.0,-1.2000000000000002,0.030668247365089663,-0.25482900393895386,7.55,4.0,3.55,5.5,9.0,-3.5,4.985228179331413,0.65,-0.4,2,0,0,2,0,0,1.2000000000000002,0.0,1.2000000000000002,1.2000000000000002,0.0,1.2000000000000002,1,0,2,-2,-1.2000000000000002,0.04109589041095891,0.0625,1.0,Loss-dominated
