regime_before,regime_after,stock_code,stock_name,industry,mean_degree_before,mean_degree_after,delta_mean_degree,mean_strength_before,mean_strength_after,delta_mean_strength,delta_mean_same_degree,delta_mean_cross_degree,delta_mean_same_strength,delta_mean_cross_strength,mean_degree_rank_before,mean_degree_rank_after,degree_rank_improvement,mean_strength_rank_before,mean_strength_rank_after,strength_rank_improvement,rank_shift_magnitude,delta_degree_top5_share,delta_strength_top5_share,lost_core_incident,gained_core_incident,lost_same_core_incident,lost_cross_core_incident,gained_same_core_incident,gained_cross_core_incident,persistence_drop_burden,persistence_gain_burden,abs_persistence_shift_burden,cross_persistence_drop_burden,cross_persistence_gain_burden,cross_abs_persistence_shift_burden,major_persistence_drop_count,major_persistence_gain_count,total_core_change_incident,net_core_incident_change,net_persistence_shift,persistence_shift_share,core_change_incident_share,cross_shift_ratio,node_transition_mode
1,2,600036,招商银行,银行,8.285714285714286,4.8,-3.4857142857142867,0.9120276923897388,0.8299297875217059,-0.08209790486803292,-1.0,-2.4857142857142858,0.026888425394651194,-0.10898633026268417,5.285714285714286,12.9,-7.614285714285715,4.0,6.4,-2.4000000000000004,7.983567306585166,-0.5714285714285714,-0.6,4,0,1,3,0,0,3.8857142857142857,0.4,4.285714285714286,2.8857142857142857,0.4,3.2857142857142856,4,0,4,-4,-3.4857142857142858,0.1088534107402032,0.10526315789473684,0.7666666666666666,Loss-dominated
1,2,002415,海康威视,电子,8.0,8.2,0.1999999999999993,0.5267958530000574,0.8542439657614874,0.32744811276143004,0.0,0.20000000000000018,0.11803306811802355,0.20941504464340635,5.428571428571429,6.7,-1.2714285714285714,12.285714285714286,6.0,6.2857142857142865,6.41301291858028,-0.22857142857142854,0.6,1,1,0,1,0,1,0.657142857142857,0.8571428571428572,1.5142857142857142,0.657142857142857,0.8571428571428572,1.5142857142857142,1,1,2,0,0.20000000000000018,0.038461538461538464,0.05263157894736842,1.0,Rewiring
1,2,000568,泸州老窖,食品饮料,6.571428571428571,8.8,2.2285714285714295,0.8708024176358258,0.9809804590211696,0.11017804138534382,0.0,2.228571428571428,-0.08274851338566802,0.19292655477101195,9.357142857142858,4.8,4.557142857142858,4.857142857142857,3.0,1.8571428571428568,4.921029426069804,0.6,0.0,1,3,0,1,0,3,0.657142857142857,2.885714285714286,3.5428571428571427,0.657142857142857,2.885714285714286,3.5428571428571427,1,3,4,2,2.228571428571429,0.08998548621190132,0.10526315789473684,1.0,Rewiring
1,2,000725,京东方A,电子,6.428571428571429,8.6,2.171428571428571,0.5981975984685136,0.6676400176534489,0.06944241918493532,0.0,2.1714285714285713,0.006321163564650456,0.06312125562028476,9.714285714285714,5.1,4.614285714285714,10.142857142857142,11.8,-1.6571428571428584,4.9028313352634125,0.4,0.0,0,3,0,0,0,3,0.1142857142857143,2.2857142857142856,2.4000000000000004,0.1142857142857143,2.2857142857142856,2.4000000000000004,0,2,3,3,2.1714285714285713,0.060957910014513804,0.07894736842105263,1.0,Gain-dominated
1,2,603501,韦尔股份,电子,3.857142857142857,6.6,2.7428571428571424,0.49823416177817315,0.7340731318707994,0.23583897009262622,0.0,2.742857142857143,0.02821645888638874,0.20762251120623743,13.428571428571429,10.5,2.928571428571429,13.142857142857142,10.0,3.1428571428571423,4.2958214153585415,0.0,0.0,0,3,0,0,0,3,0.0,2.742857142857143,2.742857142857143,0.0,2.742857142857143,2.742857142857143,0,3,3,3,2.742857142857143,0.06966618287373005,0.07894736842105263,1.0,Gain-dominated
1,2,000001,平安银行,银行,7.857142857142857,7.4,-0.4571428571428564,0.9864673727844345,0.8606460188854526,-0.12582135389898197,-0.1428571428571428,-0.31428571428571406,-0.03743634893321712,-0.08838500496576485,5.928571428571429,8.3,-2.371428571428572,2.2857142857142856,5.4,-3.1142857142857148,3.9143899881835793,-0.2857142857142857,-0.6,1,1,0,1,0,1,1.4,0.942857142857143,2.342857142857143,1.2571428571428571,0.942857142857143,2.2,2,1,2,0,-0.45714285714285696,0.05950653120464442,0.05263157894736842,0.9390243902439025,Rewiring
1,2,002460,赣锋锂业,新能源,7.571428571428571,9.2,1.6285714285714281,0.4171803208915435,0.6759512255166025,0.258770904625059,0.0,1.6285714285714281,0.0,0.258770904625059,6.642857142857143,3.8,2.8428571428571434,13.857142857142858,12.0,1.8571428571428577,3.3957055712370905,0.6571428571428573,0.0,0,5,0,0,0,5,1.657142857142857,3.2857142857142856,4.942857142857143,1.657142857142857,3.2857142857142856,4.942857142857143,2,3,5,5,1.6285714285714286,0.12554426705370103,0.13157894736842105,1.0,Gain-dominated
1,2,600030,中信证券,非银金融,9.714285714285714,9.2,-0.5142857142857142,0.7393109499003809,0.7092094153928893,-0.030101534507491645,0.0,-0.5142857142857142,-0.08591027179696878,0.055808737289476995,3.0714285714285716,4.7,-1.6285714285714286,7.857142857142857,10.8,-2.942857142857144,3.363428765593899,-0.2571428571428571,0.2,2,3,0,2,0,3,2.7428571428571424,2.2285714285714286,4.9714285714285715,2.7428571428571424,2.2285714285714286,4.9714285714285715,3,3,5,1,-0.5142857142857138,0.12626995645863573,0.13157894736842105,1.0,Rewiring
1,2,601318,中国平安,非银金融,10.0,8.8,-1.1999999999999993,1.056521557609241,1.0506841400265154,-0.005837417582725601,0.0,-1.2000000000000002,-0.08591027179696878,0.08007285421424293,2.0714285714285716,4.9,-2.8285714285714287,2.4285714285714284,2.0,0.4285714285714284,2.860854731704909,-0.4,0.0,0,0,0,0,0,0,1.1999999999999997,0.0,1.1999999999999997,1.1999999999999997,0.0,1.1999999999999997,1,0,0,0,-1.1999999999999997,0.03047895500725689,0.0,1.0,Limited core change
1,2,601288,农业银行,银行,3.142857142857143,2.6,-0.5428571428571427,0.6998943268279677,0.71201114677451,0.012116819946542345,-1.1428571428571428,0.6000000000000001,-0.03410620203981507,0.046223021986357304,14.214285714285714,14.8,-0.5857142857142872,8.857142857142858,11.2,-2.3428571428571416,2.4149618664332,0.0,0.0,1,1,1,0,0,1,2.142857142857143,1.6,3.742857142857143,0.9999999999999999,1.6,2.6,2,2,2,0,-0.5428571428571427,0.09506531204644414,0.05263157894736842,0.6946564885496184,Rewiring
2,3,000725,京东方A,电子,8.6,9.6,1.0,0.6676400176534489,0.8441455027482048,0.17650548509475583,0.0,1.0,0.09876759855581041,0.07773788653894531,5.1,3.2,1.8999999999999995,11.8,7.7,4.1000000000000005,4.518849411078002,0.5,0.2,0,1,0,0,0,1,0.0,0.9999999999999998,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0,0,1,1,0.9999999999999998,0.040322580645161296,0.05555555555555555,1.0,Gain-dominated
2,3,601318,中国平安,非银金融,8.8,10.0,1.1999999999999993,1.0506841400265154,1.119036854632884,0.06835271460636849,0.0,1.2000000000000002,-0.01596748279848595,0.08432019740485475,4.9,1.6,3.3000000000000003,2.0,1.8,0.19999999999999996,3.306055050963308,0.4,0.0,0,1,0,0,0,1,0.0,1.2,1.2,0.0,1.2,1.2,0,1,1,1,1.2,0.04838709677419357,0.05555555555555555,1.0,Gain-dominated
2,3,002460,赣锋锂业,新能源,9.2,8.7,-0.5,0.6759512255166025,0.6411740572917415,-0.03477716822486099,0.0,-0.5,0.0,-0.03477716822486099,3.8,5.9,-2.1000000000000005,12.0,14.1,-2.0999999999999996,2.9698484809834995,-0.30000000000000004,0.0,1,0,0,1,0,0,1.0,0.4999999999999998,1.4999999999999996,1.0,0.4999999999999998,1.4999999999999996,0,0,1,-1,-0.5000000000000002,0.060483870967741944,0.05555555555555555,1.0,Loss-dominated
2,3,002415,海康威视,电子,8.2,9.1,0.9000000000000004,0.8542439657614874,0.8977941685930773,0.043550202831589835,0.0,0.8999999999999995,0.051669417066665724,-0.008119214235075722,6.7,4.45,2.25,6.0,5.7,0.2999999999999998,2.2699118925632336,0.49999999999999994,-0.19999999999999996,1,1,0,1,0,1,0.5,1.4,1.9,0.5,1.4,1.9,1,1,2,0,0.8999999999999999,0.07661290322580648,0.1111111111111111,1.0,Rewiring
2,3,000858,五粮液,食品饮料,10.2,9.3,-0.8999999999999986,1.1970130931306433,1.1503332226352898,-0.04667987049535349,0.0,-0.9000000000000004,0.019197128881134784,-0.0658769993764885,1.5,3.7,-2.2,1.0,1.2,-0.19999999999999996,2.209072203437452,0.0,0.0,1,0,0,1,0,0,1.1,0.1999999999999999,1.2999999999999998,1.1,0.1999999999999999,1.2999999999999998,1,0,1,-1,-0.9000000000000001,0.05241935483870969,0.05555555555555555,1.0,Loss-dominated
2,3,600887,伊利股份,食品饮料,8.6,8.2,-0.40000000000000036,0.6742498724265589,0.6888695129976573,0.014619640571098436,0.0,-0.39999999999999947,0.11715448207580087,-0.10253484150470263,5.6,7.45,-1.8500000000000005,11.6,12.7,-1.0999999999999996,2.1523243250030886,-0.39999999999999997,0.0,1,0,0,1,0,0,0.8999999999999999,0.4999999999999997,1.3999999999999997,0.8999999999999999,0.4999999999999997,1.3999999999999997,1,0,1,-1,-0.4000000000000002,0.05645161290322582,0.05555555555555555,1.0,Loss-dominated
