analysis_date,window,density_fraction,common_node_count,common_valid_pair_count,raw_edge_threshold,residual_edge_threshold,raw_residual_overlap_fraction,raw_residual_jaccard,raw_same_industry_edge_share,residual_same_industry_edge_share,residual_cross_industry_edge_share,raw_industry_enrichment,residual_industry_enrichment,raw_positive_pair_share,residual_positive_pair_share,common_valid_pair_ratio,market_beta_mean,market_beta_median,market_r2_mean,market_r2_median,delta_market_r2_mean_1m,abs_delta_market_r2_mean_1m,delta_residual_edge_threshold_1m,abs_delta_residual_edge_threshold_1m,delta_residual_cross_industry_edge_share_1m,abs_delta_residual_cross_industry_edge_share_1m,delta_raw_residual_overlap_fraction_1m,abs_delta_raw_residual_overlap_fraction_1m,valid_stock_n,market_ew_return_1d,market_breadth_1d,cross_sectional_dispersion_1d,market_return_20d,market_vol_20d_ann,market_dispersion_20d,market_breadth_20d,market_return_60d,market_vol_60d_ann,market_dispersion_60d,market_breadth_60d
2015-04-30,60,0.01,1993,1968378,0.6251991987228394,0.3934988379478454,0.3365340649291266,0.2023089609675646,0.1495706955240563,0.1866585378245186,0.8133414621754814,3.100898071644874,3.8698028244644247,0.942703078372142,0.48909508234698823,0.991612208996548,0.9966594849771522,0.9892673371608064,0.2940490496733663,0.284988185830253,,,,,,,,,2347,0.00489327606898373,0.46271836386876863,0.03426291289743354,0.1722409003125176,0.34566951707658955,0.033804456385140486,0.5818287137818907,0.6084549772594798,0.25116259951588277,0.02923112951518955,0.5900209769506916
2015-05-29,60,0.01,1914,1807026,0.6580883860588074,0.4003598093986511,0.3671831765356945,0.2248771394678868,0.1462645268400664,0.1971776425013835,0.8028223574986165,3.059744653079935,4.124809004511467,0.98037106272959,0.4959900964346943,0.9870462288221,1.0123772033289038,1.0148746594036346,0.3557269096015878,0.3581909187159648,0.0616778599282215,0.0616778599282215,0.00686097145080572,0.00686097145080572,-0.010519104676864899,0.010519104676864899,0.030649111606567914,0.030649111606567914,2321,0.014117692378865268,0.5738905644118915,0.04364119689099564,0.3162536402552969,0.4388683684756664,0.0384060156996439,0.6201305957722811,0.9105232794158704,0.33610310773063623,0.033760851371943644,0.6081461917113294
2015-06-30,60,0.01,1802,1597135,0.7625728249549866,0.4073084890842438,0.289023855738526,0.1689233696845495,0.1364974015402917,0.179387640097677,0.820612359902323,2.859491564803498,3.758001528973405,0.998460368096623,0.4950395552035363,0.9842447869324048,1.0114356248797032,1.0413096027162068,0.5097790704972273,0.5268942685690693,0.15405216089563945,0.15405216089563945,0.006948679685592651,0.006948679685592651,0.01779000240370643,0.01779000240370643,-0.07815932079716847,0.07815932079716847,2315,0.05391723952831147,0.9218142548596112,0.03834503410262253,-0.1483115919490685,0.6635495161923539,0.04125806721612519,0.47263724511208094,0.3562437311660831,0.5226092068480798,0.037883805735099974,0.560690000201011
2015-07-31,60,0.01,1572,1165107,0.8672791123390198,0.5068302154541016,0.2644408205304265,0.1523663518124721,0.1129516779675564,0.1373272680456613,0.8626727319543387,2.3833814593912237,2.8977282181048305,0.999321950687791,0.48726597642963265,0.9435546960413216,1.0096435432056814,1.0551091204390222,0.6539191282042248,0.6806152164136312,0.14414005770699756,0.14414005770699756,0.09952172636985779,0.09952172636985779,0.04206037205201574,0.04206037205201574,-0.024583035208099513,0.024583035208099513,2261,-0.016757055363072714,0.31667403803626715,0.04187715592013106,0.0859864081363999,0.9879213795512541,0.03841733052532327,0.5429405990157488,0.07287183039147394,0.7882539666807457,0.039512495603827295,0.5418146102596455
2015-07-31,120,0.01,1534,1089993,0.792292594909668,0.3820860683917999,0.247545646389577,0.1412565445026178,0.1350582622258923,0.1761629507294247,0.8238370492705753,2.858718355180733,3.728763071974869,0.9994825654843655,0.49429308261612687,0.9270137802759116,1.0091737168415045,1.047691922935801,0.5752619737763983,0.5937194402886954,,,,,,,,,2261,-0.016757055363072714,0.31667403803626715,0.04187715592013106,0.0859864081363999,0.9879213795512541,0.03841733052532327,0.5429405990157488,0.07287183039147394,0.7882539666807457,0.039512495603827295,0.5418146102596455
2015-08-31,60,0.01,1645,1276608,0.899162769317627,0.534665584564209,0.2096193012689957,0.1170808540427021,0.1064546451511828,0.1280745730847564,0.8719254269152437,2.1788060992907496,2.6213009362328004,0.999772052188299,0.48267909961397704,0.9441040090519824,1.004675178415419,1.0523730495908423,0.6959623693336245,0.7333563963299637,0.04204324112939972,0.04204324112939972,0.027835369110107422,0.027835369110107422,0.009252694960904972,0.009252694960904972,-0.05482151926143081,0.05482151926143081,2267,-0.045734338446021976,0.1446846052051169,0.04483182926289624,-0.1166770111052895,0.872187308892688,0.03345603779062703,0.5011051122185777,-0.4237179017206075,0.8755818036709071,0.03780743541028916,0.47351261820180623
2015-08-31,120,0.01,1506,1045765,0.8177968859672546,0.3991252779960632,0.2407956392846897,0.1368775820830615,0.1384718370469542,0.176149947403653,0.823850052596347,2.915421797250012,3.708706457551465,0.9999407132577587,0.49627019454657595,0.9227894623058156,1.0057669490546213,1.0495098012917898,0.6255690063488246,0.6477061880725719,0.0503070325724263,0.0503070325724263,0.01703920960426325,0.01703920960426325,1.3003325771698826e-05,1.3003325771698826e-05,-0.006750007104887296,0.006750007104887296,2267,-0.045734338446021976,0.1446846052051169,0.04483182926289624,-0.1166770111052895,0.872187308892688,0.03345603779062703,0.5011051122185777,-0.4237179017206075,0.8755818036709071,0.03780743541028916,0.47351261820180623
2015-09-30,60,0.01,1769,1509086,0.9123312830924988,0.5539619326591492,0.1925778661365142,0.106548361076483,0.0927766732935719,0.1230616302186878,0.8769383697813122,1.8593357077543595,2.4662760066427465,0.9982181267336653,0.480372887959997,0.965014618275018,0.9972402599023996,1.036538945284541,0.7149712196292235,0.7509169778460348,0.019008850295598956,0.019008850295598956,0.019296348094940186,0.019296348094940186,0.00501294286606857,0.00501294286606857,-0.01704143513248149,0.01704143513248149,2337,0.0042306083401641515,0.6230209670517758,0.026505133481312188,-0.037979256851521814,0.7341712828788651,0.03238019369167478,0.5249257323815648,-0.07096716500832867,0.8574326130708898,0.0346918555767374,0.5232440090202093
2015-09-30,120,0.01,1562,1122935,0.8380065560340881,0.4215638637542724,0.1842550538783507,0.1014762862327725,0.1242318995458188,0.1613678867218808,0.8386321132781192,2.57449846118966,3.3440797216313003,0.9995502856354108,0.4909821138356183,0.9210870604794688,1.001856353396834,1.0476029012154058,0.6500274451357498,0.6772746837289076,0.02445843878692522,0.02445843878692522,0.02243858575820923,0.02243858575820923,0.014782060681772125,0.014782060681772125,-0.056540585406338995,0.056540585406338995,2337,0.0042306083401641515,0.6230209670517758,0.026505133481312188,-0.037979256851521814,0.7341712828788651,0.03238019369167478,0.5249257323815648,-0.07096716500832867,0.8574326130708898,0.0346918555767374,0.5232440090202093
2015-10-30,60,0.01,1962,1910443,0.8927061557769775,0.4995525181293487,0.1654103852596315,0.090162063455832,0.1088777219430485,0.1309149916247906,0.8690850083752094,2.165181764396506,2.6034228811325297,0.9984506211386573,0.48150036405168856,0.9930874270496912,1.0020497131788697,1.0441510663106666,0.6894179295284539,0.7244520980618343,-0.025553290100769566,0.025553290100769566,-0.05440941452980047,0.05440941452980047,-0.007853361406102821,0.007853361406102821,-0.0271674808768827,0.0271674808768827,2375,-0.0012878066822659803,0.39621052631578946,0.029928317986075155,0.25244523780442263,0.47658717062536177,0.029633946272908863,0.6355911399165511,-0.04528490598942181,0.7173667844165071,0.03265708668639646,0.5375971842292125
2015-10-30,120,0.01,1618,1207222,0.8471988439559937,0.429632306098938,0.1881212723658051,0.10382663557811,0.1248343273691186,0.1511762756792578,0.8488237243207422,2.527170297573526,3.060441800312997,0.9993364932050609,0.4851982485408649,0.9228446519634936,1.0053110730117505,1.05105459501966,0.662433968157176,0.687337010407288,0.012406523021426197,0.012406523021426197,0.008068442344665583,0.008068442344665583,0.010191611042623006,0.010191611042623006,0.003866218487454387,0.003866218487454387,2375,-0.0012878066822659803,0.39621052631578946,0.029928317986075155,0.25244523780442263,0.47658717062536177,0.029633946272908863,0.6355911399165511,-0.04528490598942181,0.7173667844165071,0.03265708668639646,0.5375971842292125
2015-11-30,60,0.01,2037,2059103,0.8575271964073181,0.4475605487823486,0.1994075081346219,0.1107454957384831,0.1134961876548006,0.1465688893205769,0.8534311106794231,2.2655040956276222,2.92567024416096,0.993807497730808,0.48166167501091495,0.992977171829986,1.0041835814741753,1.0460899682271745,0.632506809291164,0.6612613263935979,-0.05691112023728995,0.05691112023728995,-0.05199196934700012,0.05199196934700012,-0.01565389769578629,0.01565389769578629,0.033997122874990404,0.033997122874990404,2455,0.0107082512525796,0.5213849287169042,0.039438801044390154,0.14793243705084347,0.41306993740902964,0.031136666106746137,0.5675682078246157,0.37515573874013763,0.5835132869212852,0.03130096710768201,0.5708251147165129
2015-11-30,120,0.01,1723,1373368,0.8537958860397339,0.4261583089828491,0.1795674652297386,0.09864,0.1250273064880215,0.1508774484817592,0.8491225515182408,2.520343786887246,3.0414399105593324,0.9991793896464749,0.4786510243430748,0.9257601770943504,1.0036990383683275,1.0466142425564935,0.6641458921907757,0.6929737907881444,0.0017119240335996544,0.0017119240335996544,-0.003473997116088867,0.003473997116088867,0.00029882719749863007,0.00029882719749863007,-0.008553807136066488,0.008553807136066488,2455,0.0107082512525796,0.5213849287169042,0.039438801044390154,0.14793243705084347,0.41306993740902964,0.031136666106746137,0.5675682078246157,0.37515573874013763,0.5835132869212852,0.03130096710768201,0.5708251147165129
2015-12-31,60,0.01,2119,2225937,0.7503230571746826,0.4351584911346435,0.4025787321982119,0.2520178867733498,0.1567455860550788,0.1670335594590952,0.8329664405409047,3.096622967229807,3.29986935860144,0.9955137993573043,0.48782827186932964,0.9919412518866804,1.006321097217053,1.0258318508718822,0.4624912291915908,0.4706951318625638,-0.17001558009957318,0.17001558009957318,-0.012402057647705078,0.012402057647705078,-0.02046467013851838,0.02046467013851838,0.20317122406358998,0.20317122406358998,2521,-0.017361424227166432,0.18524395081316938,0.026752804661028064,0.05754392935510522,0.2338565041899974,0.027882523502322197,0.5191913744746517,0.42867663005074697,0.3773909785768542,0.029921617251278076,0.5645855924863756
2015-12-31,120,0.01,1836,1599124,0.8388051986694336,0.4366263151168823,0.2253142392595835,0.1269600761126184,0.1276968294665749,0.1475830154461885,0.8524169845538115,2.546204625044043,2.942724248336896,0.9994359411777949,0.4784012997115921,0.9492998046932972,1.000084144636605,1.0348662863976967,0.6391275261452661,0.6607097528248955,-0.025018366045509555,0.025018366045509555,0.010468006134033203,0.010468006134033203,0.003294433035570754,0.003294433035570754,0.045746774029844894,0.045746774029844894,2521,-0.017361424227166432,0.18524395081316938,0.026752804661028064,0.05754392935510522,0.2338565041899974,0.027882523502322197,0.5191913744746517,0.42867663005074697,0.3773909785768542,0.029921617251278076,0.5645855924863756
2016-01-29,60,0.01,2199,2401665,0.8483973741531372,0.4566723108291626,0.3436042638241172,0.2074409250879839,0.1248334443704197,0.1546052631578947,0.8453947368421053,2.46613567635012,3.054290115506336,0.9999800138653809,0.49240964081168687,0.9937782952876668,1.0045026152081291,1.024197825872715,0.6170476666501384,0.6336772293705293,0.15455643745854764,0.15455643745854764,0.0215138196945191,0.0215138196945191,0.01242829630120057,0.01242829630120057,-0.0589744683740947,0.0589744683740947,2549,0.04302389583182421,0.9662612789329149,0.024100794167099728,-0.30031108062030887,0.7343630950808121,0.03018917462419838,0.4459552217784998,-0.1837991105160348,0.5127752059695707,0.03004330388399041,0.5089541595191401
2016-01-29,120,0.01,1972,1896454,0.8424904346466064,0.3896772563457489,0.2192048091120017,0.1230937786858547,0.1421641004007593,0.1677388736553469,0.8322611263446531,2.8423437795076816,3.3536704609102137,0.9999483246100354,0.48441301502699247,0.9758403545116152,0.9996672542036832,1.033376716719596,0.6567136757768549,0.6770758171120193,0.017586149631588777,0.017586149631588777,-0.04694905877113342,0.04694905877113342,-0.02015585820915844,0.02015585820915844,-0.006109430147581807,0.006109430147581807,2549,0.04302389583182421,0.9662612789329149,0.024100794167099728,-0.30031108062030887,0.7343630950808121,0.03018917462419838,0.4459552217784998,-0.1837991105160348,0.5127752059695707,0.03004330388399041,0.5089541595191401
